RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,"In a row of three seats, who should get to use the two arm rests?","In a row of two seats, who should get to use the middle arm rest?",Who should have control over the window shade?,Is itrude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words tothe stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is itrude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is itrude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is itrude to wake a passenger up if you are trying to walk around?,"In general, is itrude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?",Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction?,Have you ever smoked a cigarette in an airplane bathroom when it was against the rules?,Gender,Age,Household Income,Education,Location (Census Region)
3433278680.0,,,162.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,3.0,4.0,4.0
3433278304.0,,,165.1,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,1.0,3.0,0.0
3433277841.0,,,188.0,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,4.0
3433275891.0,,,167.6,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,1.0,3.0,2.0,1.0,8.0
3433274937.0,,,162.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,0.0,2.0,6.0
3433273649.0,,,165.1,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,1.0,3.0,2.0,4.0,0.0
3433273447.0,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,4.0,1.0
3433273305.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,3.0,7.0
3433270331.0,,,195.6,1.0,,,,,,,,,0.0,,,,,,,1.0,1.0,0.0,2.0,2.0,3.0,4.0
3433269181.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,3.0,4.0
3433268645.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,
3433268138.0,,,182.9,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,2.0,3.0,4.0,8.0
3433265290.0,,,177.8,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,4.0,0.0
3433265138.0,,,160.0,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,1.0,3.0,0.0
3433263834.0,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.0,2.0,0.0
3433263574.0,,,182.9,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,2.0,2.0,4.0
3433262682.0,,,167.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,,2.0,4.0
3433262269.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.0,1.0,2.0,6.0
3433261318.0,,,190.5,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,1.0,3.0,1.0
3433260894.0,,,180.3,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,,4.0,7.0
3433260889.0,,,167.6,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,4.0,3.0,1.0
3433260449.0,,,195.6,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,2.0,,3.0,0.0
3433260241.0,,,162.6,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,1.0,1.0,,3.0,8.0
3433259149.0,,,152.4,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,1.0,0.0,4.0,4.0
3433259146.0,,,154.9,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,1.0,3.0,1.0,3.0,7.0
3433258577.0,,,172.7,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,1.0,3.0,3.0,4.0
3433258429.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,2.0
3433257810.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3433256501.0,,,157.5,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,3.0,,4.0,1.0
3433256432.0,,,165.1,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,1.0,1.0,2.0,3.0,4.0
3433254127.0,,,198.1,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,0.0
